&IN
 ETA= 0.83999999999999997     ,
 XI0= 0.12110000000000000     ,
 BETA=  4.8399999999999999     ,
 P=-0.29999999999999999     ,
 K0=  3.8399999999999999     ,
 KF=  1.0000000000000000     ,
 L0=  8.0000000000000000     ,
 LF=  30.000000000000000     ,
 LM=  20.000000000000000     ,
 LW=  5.0000000000000000     ,
 T0=  125.59999999999999     ,
 TF=  257.00000000000000     ,
 VS=  2.4529999999999998     ,
 NMAX=10000      ,
 /
  0.83999999999999997     
  0.12110000000000000     
   4.8399999999999999     
 -0.29999999999999999     
   3.8399999999999999     
   1.0000000000000000     
   8.0000000000000000     
   30.000000000000000     
   20.000000000000000     
   5.0000000000000000     
   125.59999999999999     
   257.00000000000000     
   2.4529999999999998     
       10000
   2.2000000000000001E-003

L                        T                        Ta                       v                        
    0.82420000000000E+01     0.13511538299842E+03     0.11525601521524E+03     0.25857082726655E+01     0.38387474464443E+01
    0.82442000000000E+01     0.13519527425708E+03     0.11516817551022E+03     0.25937712557227E+01     0.38387446475454E+01
    0.82464000000000E+01     0.13527505213907E+03     0.11508058069717E+03     0.26018577623678E+01     0.38387418428495E+01
    0.82486000000000E+01     0.13535471679226E+03     0.11499295509831E+03     0.26099678562133E+01     0.38387390323457E+01
    0.82508000000000E+01     0.13543426836431E+03     0.11490557433768E+03     0.26181016010271E+01     0.38387362160231E+01
    0.82530000000000E+01     0.13551370700268E+03     0.11481816226327E+03     0.26262590607367E+01     0.38387333938707E+01
    0.82552000000000E+01     0.13559303285457E+03     0.11473099497460E+03     0.26344402994284E+01     0.38387305658776E+01
    0.82574000000000E+01     0.13567224606699E+03     0.11464379584487E+03     0.26426453813430E+01     0.38387277320327E+01
    0.82596000000000E+01     0.13575134678673E+03     0.11455684144964E+03     0.26508743708835E+01     0.38387248923250E+01
    0.82618000000000E+01     0.13583033516035E+03     0.11446985468674E+03     0.26591273326073E+01     0.38387220467436E+01
    0.82640000000000E+01     0.13590921133421E+03     0.11438311260834E+03     0.26674043312370E+01     0.38387191952773E+01
